iter	Passed	Remaining
0	138	138726
1	140	70012
2	141	47086
3	143	35635
4	144	28743
5	145	24148
6	147	20857
7	148	18412
8	149	16515
9	151	14992
10	152	13738
11	154	12689
12	155	11805
13	156	11045
14	158	10384
15	159	9808
16	160	9297
17	162	8838
18	163	8434
19	164	8071
20	166	7741
21	167	7444
22	168	7173
23	170	6918
24	171	6687
25	172	6472
26	174	6271
27	175	6091
28	176	5918
29	178	5760
30	179	5611
31	180	5474
32	182	5346
33	183	5218
34	185	5105
35	186	4992
36	187	4884
37	188	4783
38	190	4688
39	191	4599
40	192	4513
41	194	4431
42	195	4353
43	196	4277
44	198	4206
45	199	4136
46	200	4070
47	202	4009
48	203	3949
49	204	3892
50	206	3838
51	207	3785
52	208	3733
53	210	3682
54	211	3634
55	212	3588
56	214	3544
57	215	3501
58	216	3459
59	218	3419
60	219	3379
61	220	3341
62	222	3304
63	223	3267
64	224	3231
65	225	3197
66	227	3164
67	227	3124
68	229	3094
69	230	3064
70	231	3035
71	233	3010
72	234	2982
73	236	2956
74	237	2930
75	238	2905
76	240	2879
77	241	2855
78	242	2831
79	244	2808
80	245	2784
81	246	2762
82	248	2740
83	249	2718
84	250	2692
85	251	2670
86	252	2645
87	253	2625
88	254	2606
89	255	2587
90	257	2568
91	258	2549
92	259	2530
93	260	2513
94	262	2495
95	263	2478
96	264	2461
97	265	2444
98	266	2428
99	267	2411
100	269	2397
101	270	2377
102	271	2362
103	272	2346
104	273	2332
105	275	2320
106	276	2307
107	277	2293
108	278	2279
109	280	2265
110	281	2252
111	282	2239
112	283	2226
113	284	2213
114	285	2200
115	286	2187
116	288	2176
117	289	2164
118	290	2151
119	291	2140
120	293	2128
121	294	2117
122	294	2102
123	296	2091
124	297	2080
125	298	2070
126	299	2059
127	300	2047
128	301	2037
129	303	2028
130	304	2018
131	305	2008
132	306	1998
133	307	1989
134	308	1979
135	310	1970
136	311	1961
137	312	1951
138	313	1942
139	314	1933
140	315	1925
141	317	1917
142	318	1910
143	320	1903
144	321	1896
145	323	1890
146	324	1885
147	326	1878
148	327	1871
149	328	1863
150	329	1855
151	331	1848
152	332	1840
153	333	1833
154	335	1826
155	336	1819
156	337	1812
157	338	1805
158	339	1797
159	341	1791
160	342	1784
161	343	1777
162	344	1770
163	346	1765
164	347	1759
165	348	1753
166	350	1747
167	351	1741
168	352	1735
169	354	1729
170	355	1723
171	357	1718
172	358	1712
173	359	1706
174	360	1700
175	361	1694
176	363	1688
177	364	1683
178	365	1677
179	366	1671
180	367	1663
181	368	1657
182	370	1652
183	371	1646
184	373	1643
185	374	1639
186	375	1634
187	377	1629
188	378	1624
189	379	1619
190	381	1614
191	382	1609
192	383	1604
193	384	1599
194	386	1594
195	387	1589
196	389	1585
197	390	1580
198	391	1576
199	392	1571
200	394	1566
201	395	1561
202	396	1558
203	398	1553
204	399	1549
205	401	1545
206	402	1542
207	404	1538
208	405	1534
209	406	1530
210	408	1525
211	409	1521
212	410	1517
213	412	1514
214	413	1511
215	415	1507
216	417	1504
217	418	1500
218	419	1495
219	420	1491
220	422	1487
221	423	1483
222	424	1478
223	425	1474
224	426	1470
225	428	1466
226	429	1462
227	430	1458
228	431	1453
229	433	1449
230	434	1446
231	435	1442
232	437	1438
233	438	1434
234	439	1431
235	440	1427
236	442	1423
237	443	1419
238	444	1415
239	445	1411
240	446	1407
241	448	1404
242	449	1400
243	450	1396
244	452	1393
245	453	1389
246	454	1385
247	455	1381
248	456	1378
249	458	1374
250	459	1370
251	460	1366
252	461	1363
253	463	1360
254	464	1357
255	465	1354
256	467	1351
257	468	1347
258	469	1344
259	471	1341
260	472	1338
261	473	1334
262	475	1332
263	476	1328
264	477	1325
265	479	1322
266	480	1319
267	481	1316
268	483	1312
269	484	1309
270	485	1306
271	486	1302
272	487	1299
273	489	1296
274	490	1292
275	491	1289
276	492	1286
277	494	1283
278	495	1280
279	496	1277
280	497	1274
281	499	1271
282	500	1267
283	501	1264
284	502	1261
285	504	1258
286	505	1255
287	506	1252
288	508	1249
289	509	1247
290	510	1244
291	511	1241
292	513	1237
293	514	1235
294	515	1232
295	516	1229
296	518	1226
297	519	1223
298	520	1220
299	521	1217
300	523	1214
301	524	1211
302	525	1208
303	526	1206
304	528	1203
305	529	1200
306	530	1197
307	531	1194
308	533	1192
309	534	1189
310	535	1187
311	537	1184
312	538	1181
313	539	1179
314	541	1176
315	542	1173
316	543	1171
317	544	1168
318	546	1166
319	547	1163
320	549	1161
321	550	1158
322	551	1156
323	552	1153
324	554	1151
325	555	1148
326	556	1145
327	558	1143
328	559	1140
329	560	1138
330	561	1135
331	563	1133
332	564	1130
333	565	1127
334	566	1125
335	568	1123
336	569	1120
337	570	1117
338	572	1115
339	573	1112
340	574	1110
341	575	1108
342	577	1105
343	578	1102
344	579	1100
345	580	1097
346	581	1095
347	583	1092
348	584	1090
349	585	1087
350	586	1084
351	587	1082
352	589	1080
353	590	1077
354	591	1075
355	593	1072
356	594	1070
357	595	1067
358	596	1065
359	598	1063
360	599	1060
361	600	1058
362	601	1056
363	603	1054
364	604	1051
365	605	1049
366	607	1047
367	608	1045
368	609	1042
369	611	1040
370	612	1038
371	613	1036
372	615	1034
373	616	1031
374	617	1029
375	619	1027
376	620	1025
377	621	1022
378	622	1020
379	623	1018
380	625	1015
381	626	1013
382	627	1010
383	628	1008
384	630	1006
385	631	1004
386	632	1001
387	633	999
388	635	997
389	636	995
390	637	992
391	638	990
392	639	988
393	641	986
394	642	983
395	643	981
396	645	979
397	646	977
398	647	975
399	649	973
400	650	972
401	652	970
402	653	968
403	655	966
404	656	964
405	657	962
406	658	959
407	660	958
408	661	955
409	662	953
410	663	951
411	664	949
412	666	946
413	667	944
414	668	942
415	670	940
416	671	938
417	672	936
418	674	934
419	675	932
420	676	930
421	678	928
422	679	926
423	680	924
424	682	922
425	683	920
426	684	918
427	686	916
428	687	914
429	688	913
430	690	911
431	691	909
432	692	907
433	693	904
434	695	902
435	696	900
436	697	898
437	698	896
438	700	894
439	701	893
440	703	891
441	704	889
442	705	887
443	706	885
444	708	883
445	709	881
446	710	879
447	711	877
448	713	875
449	714	873
450	715	871
451	717	869
452	718	867
453	719	865
454	721	863
455	722	861
456	723	859
457	724	857
458	726	855
459	727	853
460	728	852
461	730	850
462	731	848
463	733	846
464	734	844
465	735	842
466	736	841
467	738	839
468	739	837
469	740	835
470	742	833
471	743	831
472	744	829
473	746	827
474	747	825
475	748	824
476	749	822
477	751	820
478	752	818
479	753	816
480	755	814
481	756	812
482	757	811
483	758	809
484	760	807
485	761	805
486	762	803
487	763	801
488	765	799
489	766	797
490	767	795
491	768	793
492	770	792
493	771	790
494	772	788
495	774	786
496	775	784
497	776	782
498	777	781
499	779	779
500	780	777
501	781	775
502	782	773
503	784	771
504	785	769
505	786	768
506	788	766
507	789	764
508	790	762
509	791	760
510	792	758
511	794	756
512	795	755
513	796	753
514	797	751
515	799	749
516	800	747
517	801	745
518	802	743
519	803	742
520	805	740
521	806	738
522	807	736
523	808	734
524	810	732
525	811	731
526	812	729
527	814	727
528	815	726
529	816	724
530	818	722
531	819	720
532	820	719
533	822	717
534	823	715
535	824	714
536	826	712
537	827	710
538	828	708
539	829	706
540	831	705
541	832	703
542	833	701
543	834	699
544	835	697
545	837	696
546	838	694
547	839	692
548	840	690
549	842	689
550	843	687
551	844	685
552	845	683
553	847	681
554	848	680
555	849	678
556	850	676
557	852	674
558	853	673
559	854	671
560	855	669
561	856	667
562	858	665
563	859	664
564	860	662
565	861	660
566	862	658
567	863	657
568	865	655
569	866	653
570	867	651
571	869	650
572	870	648
573	871	646
574	872	645
575	873	643
576	875	641
577	876	639
578	877	638
579	878	636
580	879	634
581	881	632
582	882	631
583	883	629
584	885	627
585	886	626
586	887	624
587	889	623
588	890	621
589	891	619
590	893	618
591	894	616
592	895	614
593	897	613
594	898	611
595	899	609
596	900	608
597	901	606
598	903	604
599	904	603
600	905	601
601	907	599
602	908	597
603	909	596
604	910	594
605	912	592
606	913	591
607	914	589
608	915	588
609	917	586
610	918	584
611	919	583
612	921	581
613	922	579
614	923	578
615	924	576
616	926	574
617	927	573
618	928	571
619	929	569
620	931	568
621	932	566
622	933	565
623	935	563
624	936	561
625	937	560
626	938	558
627	939	556
628	940	554
629	942	553
630	943	551
631	944	549
632	945	548
633	947	546
634	948	545
635	949	543
636	950	541
637	951	540
638	953	538
639	954	537
640	956	535
641	957	533
642	958	532
643	960	530
644	961	529
645	962	527
646	963	525
647	965	524
648	966	522
649	968	521
650	969	519
651	970	518
652	972	516
653	973	514
654	974	513
655	975	511
656	976	509
657	978	508
658	979	506
659	980	505
660	981	503
661	982	501
662	983	500
663	985	498
664	986	496
665	987	495
666	988	493
667	989	491
668	991	490
669	992	488
670	993	487
671	994	485
672	996	484
673	997	482
674	999	481
675	1000	479
676	1002	478
677	1003	476
678	1004	475
679	1006	473
680	1007	471
681	1008	470
682	1009	468
683	1011	467
684	1012	465
685	1013	463
686	1014	462
687	1015	460
688	1016	458
689	1018	457
690	1019	455
691	1020	454
692	1021	452
693	1023	451
694	1025	449
695	1026	448
696	1027	446
697	1028	445
698	1030	443
699	1031	442
700	1032	440
701	1034	438
702	1035	437
703	1036	435
704	1038	434
705	1039	432
706	1040	431
707	1041	429
708	1043	428
709	1044	426
710	1045	425
711	1046	423
712	1048	421
713	1049	420
714	1050	418
715	1051	417
716	1053	415
717	1054	414
718	1055	412
719	1056	410
720	1058	409
721	1059	407
722	1060	406
723	1061	404
724	1062	403
725	1063	401
726	1065	400
727	1066	398
728	1067	396
729	1069	395
730	1070	393
731	1071	392
732	1072	390
733	1073	389
734	1075	387
735	1076	386
736	1077	384
737	1078	382
738	1079	381
739	1081	379
740	1082	378
741	1083	376
742	1084	375
743	1085	373
744	1086	372
745	1088	370
746	1089	368
747	1090	367
748	1091	365
749	1092	364
750	1094	362
751	1095	361
752	1096	359
753	1098	358
754	1099	356
755	1100	355
756	1101	353
757	1102	352
758	1103	350
759	1105	348
760	1106	347
761	1107	345
762	1108	344
763	1109	342
764	1110	341
765	1112	339
766	1113	338
767	1114	336
768	1115	335
769	1116	333
770	1117	332
771	1119	330
772	1120	328
773	1121	327
774	1122	325
775	1123	324
776	1125	322
777	1126	321
778	1127	319
779	1128	318
780	1129	316
781	1131	315
782	1132	313
783	1133	312
784	1134	310
785	1136	309
786	1137	307
787	1138	306
788	1139	304
789	1140	303
790	1142	301
791	1143	300
792	1144	298
793	1145	297
794	1146	295
795	1148	294
796	1149	292
797	1150	291
798	1151	289
799	1152	288
800	1154	286
801	1155	285
802	1156	283
803	1157	282
804	1158	280
805	1159	279
806	1161	277
807	1162	276
808	1163	274
809	1165	273
810	1166	271
811	1167	270
812	1169	268
813	1170	267
814	1171	265
815	1173	264
816	1174	263
817	1175	261
818	1176	260
819	1177	258
820	1179	257
821	1180	255
822	1181	254
823	1182	252
824	1183	251
825	1185	249
826	1186	248
827	1187	246
828	1188	245
829	1189	243
830	1191	242
831	1192	240
832	1194	239
833	1195	237
834	1196	236
835	1197	234
836	1199	233
837	1200	232
838	1201	230
839	1202	229
840	1204	227
841	1205	226
842	1206	224
843	1207	223
844	1208	221
845	1210	220
846	1211	218
847	1212	217
848	1213	215
849	1214	214
850	1216	212
851	1217	211
852	1218	210
853	1220	208
854	1221	207
855	1222	205
856	1223	204
857	1224	202
858	1226	201
859	1227	199
860	1228	198
861	1229	196
862	1230	195
863	1232	193
864	1233	192
865	1234	191
866	1235	189
867	1237	188
868	1238	186
869	1239	185
870	1240	183
871	1241	182
872	1242	180
873	1244	179
874	1245	177
875	1246	176
876	1248	175
877	1249	173
878	1250	172
879	1251	170
880	1253	169
881	1254	167
882	1255	166
883	1256	164
884	1257	163
885	1259	161
886	1260	160
887	1261	159
888	1262	157
889	1264	156
890	1265	154
891	1266	153
892	1267	151
893	1269	150
894	1270	149
895	1271	147
896	1273	146
897	1274	144
898	1275	143
899	1276	141
900	1277	140
901	1279	138
902	1280	137
903	1281	136
904	1282	134
905	1283	133
906	1285	131
907	1286	130
908	1287	128
909	1288	127
910	1290	126
